# error, MSE_sfc, MSE_time, MSE_cbcp, MSE, Theoretical MSE, M, Mc, bw, sensors, R, L, snr dB, W, sampling_rate, N, tau, xi, p2p, overlapping_tx
1.00000000	2.59762713	0.00020091	10.16193556	0.15354465	1.33333333	1.00000000	1.00000000	4000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	8.01000000
0.99500000	1.91391715	0.00008903	10.14446290	0.15232262	1.33333333	1.00000000	1.00000000	6000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	5.52500000
0.99000000	1.52827339	0.00005025	10.13450921	0.15029494	1.33333333	1.00000000	1.00000000	8000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	4.39500000
0.98000000	1.18682665	0.00003168	10.13660521	0.14942028	1.33333333	1.00000000	1.00000000	10000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	3.48500000
0.93500000	0.99444444	0.00002195	0.61243759	0.04745868	0.66666667	2.00000000	2.00000000	12000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	2.82000000
0.93000000	0.84069315	0.00001585	0.57225638	0.01349757	0.33333333	4.00000000	4.00000000	14000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	2.44500000
0.86500000	0.83138018	0.00001216	0.11391701	0.00584350	0.16666667	8.00000000	11.00000000	16000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	2.29000000
0.81000000	0.70846430	0.00000963	0.11641700	0.00573635	0.16666667	8.00000000	11.00000000	18000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	2.01000000
0.82000000	0.65662214	0.00000791	0.03026425	0.00397640	0.08333333	16.00000000	24.00000000	20000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.86500000
0.77500000	0.56449733	0.00000650	0.00656742	0.00354736	0.04166667	32.00000000	55.00000000	22000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.69000000
0.77000000	0.50219624	0.00000561	0.00106345	0.00366016	0.02083333	64.00000000	124.00000000	24000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.52500000
0.74000000	0.54475427	0.00000467	0.00021293	0.00338929	0.01041667	128.00000000	278.00000000	26000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.37500000
0.72000000	0.51909262	0.00000409	0.00021445	0.00346961	0.01041667	128.00000000	278.00000000	28000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.36500000
0.65500000	0.47809159	0.00000353	0.00004290	0.00344065	0.00520833	256.00000000	621.00000000	30000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.27000000
0.65000000	0.42821048	0.00000308	0.00125852	0.00333166	0.00260417	512.00000000	1389.00000000	32000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.19500000
0.65000000	0.44039960	0.00000268	0.00125262	0.00342186	0.00130208	1024.00000000	3104.00000000	34000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.19500000
0.61500000	0.36952199	0.00000244	0.00000173	0.00343061	0.00130208	1024.00000000	3104.00000000	36000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	1.04000000
0.57500000	0.38925023	0.00000218	0.00000035	0.00328820	0.00065104	2048.00000000	6936.00000000	38000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	0.99000000
0.56000000	0.37359955	0.00000196	0.00000007	0.00329235	0.00032552	4096.00000000	15500.00000000	40000.00000000	8.00000000	12.00000000	4.00000000	-16.00000000	11.60000000	11.60000000	5.00000000	1.00000000	0.80000000	4.00000000	0.93000000
