# error, MSE_sfc, MSE_time, MSE_cbcp, MSE, M, Mc, bw, sensors, R, L, snr dB, W, sampling_rate, N, tau, xi, p2p, overlapping_tx
0.69100000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	10000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	1.30600000
0.43800000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	20000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.63500000
0.32700000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	30000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.44900000
0.23900000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	40000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.28600000
0.19300000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	50000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.25300000
0.15300000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	60000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.22200000
0.13600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	70000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.17500000
0.13300000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	80000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.16700000
0.12600000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	90000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.15500000
0.13200000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	100000.00000000	8.00000000	12.00000000	4.00000000	-20.00000000	6.00000000	12.00000000	3.00000000	1.00000000	0.00000000	4.00000000	0.15400000
